name,slug,category,brand,model,description,specifications,price,currency,stockQuantity,images,isFeatured,isActive
"iPhone 17 Pro Max 256GB","iphone-17-pro-max-256gb","phone","Apple","iPhone 17 Pro Max","The 2026 flagship featuring the A19 Pro chip and a new 6.9-inch display.","{ ""display"": ""6.9-inch Super Retina XDR"", ""processor"": ""A19 Pro"", ""ram"": ""12GB"", ""storage"": ""256GB"", ""camera"": ""48MP Main, 48MP UW, 48MP Tele"", ""os"": ""iOS 19"" }",185000,KSH,10,"[""https://images.apple.com/iphone-17-pro-max.jpg""]",true,true
"Samsung Galaxy S26 Ultra 512GB","samsung-galaxy-s26-ultra-512gb","phone","Samsung","Galaxy S26 Ultra","Samsung's 2026 ultra-premium flagship with Snapdragon 8 Gen 5 and 200MP sensor.","{ ""display"": ""6.8-inch Dynamic AMOLED 3X"", ""processor"": ""Snapdragon 8 Gen 5"", ""ram"": ""16GB"", ""storage"": ""512GB"", ""camera"": ""200MP Quad"", ""os"": ""Android 16"" }",145000,KSH,12,"[""https://images.samsung.com/galaxy-s26-ultra.jpg""]",true,true
"iPhone 17 Air 256GB","iphone-17-air-256gb","phone","Apple","iPhone 17 Air","The thinnest iPhone ever made with an all-new slim titanium chassis.","{ ""display"": ""6.6-inch OLED"", ""processor"": ""A19 chip"", ""ram"": ""8GB"", ""storage"": ""256GB"", ""camera"": ""48MP Single Pro"", ""os"": ""iOS 19"" }",135000,KSH,8,"[""https://images.apple.com/iphone-17-air.jpg""]",true,true
"MacBook Pro 14-inch M5 512GB","macbook-pro-14-m5-512gb","laptop","Apple","MacBook Pro 14-inch","Revolutionary M5 chip performance for professional creative workflows.","{ ""display"": ""14.2-inch Liquid Retina XDR"", ""processor"": ""Apple M5"", ""ram"": ""16GB"", ""storage"": ""512GB SSD"", ""os"": ""macOS Monterey"" }",235000,KSH,5,"[""https://images.apple.com/macbook-pro-m5.jpg""]",true,true
"Xiaomi 15 Ultra 1TB","xiaomi-15-ultra-1tb","phone","Xiaomi","15 Ultra","Camera powerhouse with Leica optics and high-speed storage.","{ ""display"": ""6.73-inch LTPO OLED"", ""processor"": ""Snapdragon 8 Gen 4"", ""ram"": ""16GB"", ""storage"": ""1TB"", ""camera"": ""50MP Quad Leica"" }",140000,KSH,4,"[""https://mi.com/xiaomi-15-ultra.jpg""]",true,true
"HP Omen 16 Max RTX 5080","hp-omen-16-max-rtx5080","laptop","HP","Omen 16 Max","Extreme gaming laptop with the latest RTX 5080 16GB GPU.","{ ""display"": ""16-inch QHD 240Hz"", ""processor"": ""Intel Core Ultra 9 275HX"", ""ram"": ""32GB"", ""storage"": ""1TB SSD"", ""graphics"": ""RTX 5080"" }",495000,KSH,3,"[""https://hp.com/omen-16-max.jpg""]",true,true
"Oppo Reno15 F 5G","oppo-reno-15-f-5g","phone","Oppo","Reno15 F","Stylish mid-range king with impressive portrait photography.","{ ""display"": ""6.7-inch AMOLED"", ""processor"": ""Dimensity 8300"", ""ram"": ""8GB"", ""storage"": ""256GB"", ""os"": ""ColorOS 16"" }",62000,KSH,20,"[""https://oppo.com/reno15f.jpg""]",false,true
"Vivo X200 Pro","vivo-x200-pro","phone","Vivo","X200 Pro","Professional imaging flagship with Zeiss optics and Dimensity 9400.","{ ""display"": ""6.78-inch OLED"", ""processor"": ""Dimensity 9400"", ""ram"": ""16GB"", ""storage"": ""512GB"", ""camera"": ""50MP Zeiss"" }",128000,KSH,6,"[""https://vivo.com/x200pro.jpg""]",true,true
"Dell XPS 13 9315 i7","dell-xps-13-9315-i7","laptop","Dell","XPS 13","The ultimate ultra-portable laptop with 13.4-inch InfinityEdge display.","{ ""display"": ""13.4-inch FHD+"", ""processor"": ""Intel Core i7-1250U"", ""ram"": ""16GB"", ""storage"": ""512GB SSD"" }",255000,KSH,10,"[""https://dell.com/xps13.jpg""]",false,true
"Lenovo Legion Pro 7 Gen 10","lenovo-legion-pro-7-g10","laptop","Lenovo","Legion Pro 7","Premium gaming power with RTX 5080 and 240Hz OLED display.","{ ""display"": ""16-inch OLED 240Hz"", ""processor"": ""Intel Core Ultra 9"", ""ram"": ""64GB"", ""storage"": ""1TB SSD"" }",595000,KSH,2,"[""https://lenovo.com/legion-pro-7.jpg""]",true,true
